ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl
EDN,2021-02-19,0.1971357464299136,2021-03-09,0.16838287463304638,LONG,389979,-11213.016190470484
LOMA,2021-02-19,1.098153929236558,2021-03-09,0.9458229210877682,LONG,71007,-10816.567895621121
CRES,2020-11-05,0.26060107531362053,2021-03-10,0.35662278732179936,LONG,211848,20342.007645508667
PAMP,2021-02-12,0.5664537325391912,2021-03-10,0.5705499108813441,LONG,135552,555.245166635513
YPFD,2021-03-26,4.394356989469466,2021-04-06,4.232425723715108,LONG,13186,-2135.2256702369546
BMA,2021-03-29,1.1157042239856394,2021-04-06,1.0445647928388502,LONG,59232,-4213.730785686619
COME,2021-04-05,0.006362029068250724,2021-04-06,0.006275236322194142,LONG,11923576,-1034.8799038543505
YPFD,2021-04-07,4.4510585725938,2021-04-08,4.323244315540045,LONG,15757,-2013.9692483960182
ALUA,2021-04-14,0.2946752544836487,2021-04-22,0.27291329402910425,LONG,245245,-5337.011991674748
EDN,2021-04-19,0.1802981674981943,2021-04-26,0.1760373120108225,LONG,388271,-1654.366620937332
PAMP,2021-03-16,0.5979175983336811,2021-04-30,0.5723702234397756,LONG,107830,-2754.773434809826
BYMA,2021-02-25,0.03872332236258131,2021-05-03,0.03881020715964783,LONG,2797613,243.07003777565626
LOMA,2021-03-18,1.0665752409555458,2021-05-07,1.065926357717726,LONG,65325,-42.388297510575356
CRES,2021-04-09,0.42119132647183344,2021-07-05,0.47406750452360935,LONG,170775,9029.929306792032
VALO,2021-05-27,0.1484156290425318,2021-07-05,0.13714251163840926,LONG,563914,-6357.0687278283585
BYMA,2021-05-10,0.042948066081156124,2021-07-08,0.0405369821434847,LONG,3193347,-7699.427659111219
TGSU2,2021-05-21,0.9456599676527477,2021-07-12,0.8956435082544857,LONG,98427,-4922.970049192739
BMA,2021-05-17,1.1914847419858428,2021-07-13,1.158300573218358,LONG,75199,-2495.416307146086
GGAL,2021-05-17,0.6271798802274172,2021-07-16,0.6394057043774376,LONG,176328,2155.755120724794
YPFD,2021-05-20,4.720352182351122,2021-07-16,4.4789527623262435,LONG,18808,-4540.240291827912
BBAR,2021-05-18,0.7879627567312452,2021-07-22,0.8036780251821077,LONG,111373,1750.2565931779175
CRES,2021-07-15,0.4737473497408504,2021-07-23,0.4638230986495259,LONG,159537,-1583.2852463566364
SUPV,2021-05-27,0.3549006882705669,2021-07-27,0.37236560957536485,LONG,225404,3936.663121786673
CEPU,2021-06-03,0.24162544949323186,2021-07-30,0.25123970302907156,LONG,227258,2184.9160300478575
PAMP,2021-05-18,0.6174844254660263,2021-08-09,0.6551589513506835,LONG,148204,5583.515434209727
