ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
TGNO4,2023-12-29,1.4759765529217186,2025-08-19,2.6181578844323043,LONG,13642,15581.637724467411,110.74399674226947,196.44300422684023,15274.450723498303
PAMP,2020-12-11,0.5839197420424589,2025-08-20,2.843406310127669,LONG,42368,95729.92691663418,136.06731396970193,662.58191201119,94931.2776906533
BBAR,2024-01-24,1.5552061161267465,2025-08-22,4.619361675945999,LONG,18935,58019.78552517755,161.9630529487297,481.07187333720617,57376.75059889161
CEPU,2021-08-03,0.25538196410076397,2025-08-25,1.0654963968649953,LONG,130042,105348.90106552617,182.6570975657535,762.0760534261474,104404.16791453426
METR,2023-12-12,0.7660223134795071,2025-08-25,1.3720090589768432,LONG,33129,20075.734891581247,139.57654272794426,249.9930846316411,19686.16526422166
YPFD,2022-09-20,7.775317107684254,2025-08-29,30.901941572316094,LONG,3102,71738.78908928797,132.65468517420103,527.2180251652849,71078.91637894847
CRES,2024-10-28,0.8578704255280571,2025-09-04,0.8883730611759104,LONG,49101,1497.7099129452436,231.67262670119223,239.91003122239107,1026.1272550216602
TRAN,2022-09-26,0.27031084394056304,2025-09-08,1.2205569946187707,LONG,73098,69461.09312227562,108.67550138702002,490.7115135595359,68861.70610732907
LOMA,2024-01-25,1.5310121575935025,2025-09-11,1.5989601050521616,LONG,21573,1465.841070525652,181.65688901670546,189.71901490459655,1094.4651666043499
TGSU2,2023-12-13,3.046216315128438,2025-10-02,4.129324602719054,LONG,6338,6864.740326749324,106.1880545290622,143.9441263261835,6614.608145894078
SUPV,2026-01-29,2.4992694734648278,2026-03-03,1.7554412348569595,LONG,21389,-15909.742195583694,294.0128112236656,206.50922914795527,-16410.264235955314
BMA,2026-01-07,9.028987547983826,2026-03-13,6.49026156510003,LONG,5890,-14953.096039185559,292.494051616936,210.25202340141544,-15455.84211420391
SUPV,2026-03-03,1.688454150608417,2026-03-19,1.6042845420140381,LONG,14675,-1235.1890061225095,136.27935563098185,129.48581609730806,-1500.9541778507994
METR,2026-01-22,1.571471378077069,2026-03-23,1.3347265370723416,LONG,27703,-6558.542330353966,239.43959372777974,203.3676109108329,-7001.349534992578
GGAL,2026-01-21,5.000685007349023,2026-04-15,4.841436598508616,LONG,12653,-2014.9701170576773,348.0051706889295,336.9228350451123,-2699.898122791719
LOMA,2026-01-08,2.4769466033923258,2026-05-04,2.236212941559941,LONG,19470,-4687.084395876527,265.2438270242672,239.46486284694632,-5191.793085747741
EDN,2026-01-15,1.323317031845099,2026-05-06,1.228176967716516,LONG,34728,-3304.024147057434,252.7588463505413,234.5867135417254,-3791.3697069497007
BBAR,2026-01-23,6.091864828721368,2026-05-08,5.142897324188158,LONG,7769,-7372.528542718512,260.30233819884967,219.7534312138979,-7852.584312131259
LOMA,2026-05-12,2.266824304722937,2026-05-14,2.1077242562148295,LONG,20426,-3249.7775908266003,254.66184286548886,236.78806611594257,-3741.2274998080316
TRAN,2025-12-10,2.5703427023483805,2026-06-04,2.592338111892782,LONG,16008,352.10251598677905,226.3032528855608,228.23981672348808,-102.44055362226982
CEPU,2025-12-16,1.6238369096802412,2026-06-04,1.5031949178271253,LONG,28001,-3378.0964138790973,250.07981519376037,231.50028491742535,-3859.6765139902827
TGSU2,2025-12-17,6.20733828229092,2026-06-04,6.087643900505658,LONG,7854,-940.0796745414481,268.13839178012086,262.9679535701429,-1471.186019891712
BYMA,2025-12-19,0.19179192140037557,2026-06-04,0.19323508281810034,LONG,349159,503.8927974513629,368.3123151632855,371.083725549268,-235.50324326119062
PAMP,2025-12-19,3.57124283978924,2026-06-04,3.3491892009254434,LONG,17067,-3789.7894544884202,335.22720850675626,314.38336650707,-4439.400029502246
CRES,2025-12-24,1.1461285240089212,2026-06-04,1.1360975132551014,LONG,46000,-461.42649467570783,289.97051657425703,287.4326708535406,-1038.8296821035055
ALUA,2025-12-29,0.6613231977561742,2026-06-04,0.6645842100659899,LONG,76592,249.7674548334026,278.5863649939749,279.9600859955586,-308.77899615613086
TGNO4,2025-12-29,3.1856686445749656,2026-06-04,2.7023359925114114,LONG,19154,-9257.753617625316,335.6006347000389,284.68298980309964,-9878.037242128454
VALO,2025-12-30,0.3631638514664204,2026-06-04,0.4298126141187652,LONG,236317,15750.23564371417,472.0198553784453,558.6461514188733,14719.56963691685
YPFD,2026-01-12,33.85674374644726,2026-06-04,54.949687526948324,LONG,1993,42038.236954538625,371.1206965766816,602.330999826644,41064.7852581353
BMA,2026-03-13,6.820070129497308,2026-06-04,8.799830449490381,LONG,4153,8221.944608931231,155.78063186291274,201.00132721203454,7865.162649856284
LOMA,2026-05-28,2.4094416936677985,2026-06-04,2.2853291018079496,LONG,22283,-2765.6008844130133,295.29274092999754,280.0819360657259,-3340.975561408737
BBAR,2026-06-02,6.210795216066867,2026-06-04,6.031824080490234,LONG,7925,-1418.3462494448115,270.71303648031454,262.9121321083681,-1951.971418033494
